Feature,Importance
Onboard_Entertainment,0.21810323787316652
Seat_Comfort,0.16576204233205602
Ease_of_Online_Booking,0.09775440513048395
Legroom,0.06488764892758582
Online_Boarding,0.05979818906079604
Catering,0.052569177379382416
Age,0.05182843500228463
Arrival_Time_Convenient,0.04765844214416253
Travel_Class,0.044536572125244554
Customer_Type,0.044493409905632476
Baggage_Handling,0.029099849122623915
Cleanliness,0.02699257398564718
Platform_Location,0.026055271419593823
Onboard_Wifi_Service,0.02564083694225058
Type_Travel,0.019882636610519828
CheckIn_Service,0.018625939066525668
Seat_Class,0.006311332972044028
